priority,audience,theme,hs_code,commodity,recommendation,expected_impact
1,Policymakers,Critical Commodity Diversification,2804,"Hydrogen, Rare Gases, Silicon","Reduce single-supplier reliance on China (36.23% of imports) for Hydrogen, Rare Gases, Silicon. Expand friend-shoring incentives, stockpile review, and alternative-source FTAs.",Lower geopolitical & supply shock exposure
2,Policymakers,Critical Commodity Diversification,8112,"Beryllium, Chromium, Germanium etc.","Reduce single-supplier reliance on China (45.02% of imports) for Beryllium, Chromium, Germanium etc.. Expand friend-shoring incentives, stockpile review, and alternative-source FTAs.",Lower geopolitical & supply shock exposure
3,Policymakers,Critical Commodity Diversification,2601,Iron Ores & Concentrates,"Reduce single-supplier reliance on South Korea (7.89% of imports) for Iron Ores & Concentrates. Expand friend-shoring incentives, stockpile review, and alternative-source FTAs.",Lower geopolitical & supply shock exposure
4,Policymakers,Critical Commodity Diversification,8542,Electronic Integrated Circuits,"Reduce single-supplier reliance on South Korea (39.26% of imports) for Electronic Integrated Circuits. Expand friend-shoring incentives, stockpile review, and alternative-source FTAs.",Lower geopolitical & supply shock exposure
5,Policymakers,Critical Commodity Diversification,2709,Crude Petroleum Oils,"Reduce single-supplier reliance on South Korea (8.02% of imports) for Crude Petroleum Oils. Expand friend-shoring incentives, stockpile review, and alternative-source FTAs.",Lower geopolitical & supply shock exposure
6,Policymakers,Critical Commodity Diversification,2711,Petroleum Gases,"Reduce single-supplier reliance on South Korea (8.24% of imports) for Petroleum Gases. Expand friend-shoring incentives, stockpile review, and alternative-source FTAs.",Lower geopolitical & supply shock exposure
7,Policymakers,Critical Commodity Diversification,2844,Radioactive Chemical Elements,"Reduce single-supplier reliance on Canada (37.71% of imports) for Radioactive Chemical Elements. Expand friend-shoring incentives, stockpile review, and alternative-source FTAs.",Lower geopolitical & supply shock exposure
8,Policymakers,Critical Commodity Diversification,8507,Electric Accumulators,"Reduce single-supplier reliance on South Korea (34.57% of imports) for Electric Accumulators. Expand friend-shoring incentives, stockpile review, and alternative-source FTAs.",Lower geopolitical & supply shock exposure
9,Businesses,Tariff Mitigation,2804,"Hydrogen, Rare Gases, Silicon","Effective duty ~29.93% on Hydrogen, Rare Gases, Silicon. Evaluate USMCA/other FTA claims, bonded warehousing, and supplier relocation ROI.",Reduce landed cost & margin pressure
10,Businesses,Tariff Mitigation,8112,"Beryllium, Chromium, Germanium etc.","Effective duty ~31.92% on Beryllium, Chromium, Germanium etc.. Evaluate USMCA/other FTA claims, bonded warehousing, and supplier relocation ROI.",Reduce landed cost & margin pressure
11,Businesses,Tariff Mitigation,2601,Iron Ores & Concentrates,"Effective duty ~38.1% on Iron Ores & Concentrates. Evaluate USMCA/other FTA claims, bonded warehousing, and supplier relocation ROI.",Reduce landed cost & margin pressure
12,Businesses,Tariff Mitigation,8542,Electronic Integrated Circuits,"Effective duty ~28.06% on Electronic Integrated Circuits. Evaluate USMCA/other FTA claims, bonded warehousing, and supplier relocation ROI.",Reduce landed cost & margin pressure
13,Businesses,Tariff Mitigation,2709,Crude Petroleum Oils,"Effective duty ~24.23% on Crude Petroleum Oils. Evaluate USMCA/other FTA claims, bonded warehousing, and supplier relocation ROI.",Reduce landed cost & margin pressure
14,Analysts,Anomaly Investigation,1201,Soya Beans,"Investigate spike in Soya Beans on 2026-06-01 (z=3.206). Cross-check against tariffs, sanctions, and port events.",Early warning for policy & procurement
15,Analysts,Anomaly Investigation,8507,Electric Accumulators,"Investigate spike in Electric Accumulators on 2026-06-01 (z=3.207). Cross-check against tariffs, sanctions, and port events.",Early warning for policy & procurement
16,Analysts,Anomaly Investigation,8802,Aircraft & Spacecraft,"Investigate spike in Aircraft & Spacecraft on 2026-06-01 (z=3.199). Cross-check against tariffs, sanctions, and port events.",Early warning for policy & procurement
17,Policymakers,Industrial Base Monitoring,nan,,"Establish a recurring Trade Flow Intelligence dashboard refreshed weekly, with automated alerts when dependency_score ≥75 or port congestion ≥60.",Institutionalize continuous situational awareness
