event_id,event_date,event_type,country,hs_code,commodity,severity_1_10,estimated_delay_days,source
SCD-1021,2023-01-15,Labor Strike,Singapore,8112,"Beryllium, Chromium, Germanium etc.",7.4,34,Commerce / Synthetic Fallback
SCD-1009,2023-01-17,Natural Disaster,India,3901,Polymers of Ethylene,1.3,2,Commerce / Synthetic Fallback
SCD-1018,2023-02-08,Natural Disaster,Germany,9401,Seats,2.6,7,Commerce / Synthetic Fallback
SCD-1025,2023-03-24,Factory Shutdown,Singapore,8542,Electronic Integrated Circuits,2.7,9,Commerce / Synthetic Fallback
SCD-1039,2023-04-12,Cyber Incident,Mexico,8504,Electrical Transformers,6.6,22,Commerce / Synthetic Fallback
SCD-1037,2023-04-15,Labor Strike,Taiwan,8542,Electronic Integrated Circuits,3.0,14,Commerce / Synthetic Fallback
SCD-1026,2023-07-09,Natural Disaster,Canada,3901,Polymers of Ethylene,2.1,6,Commerce / Synthetic Fallback
SCD-1036,2023-09-21,Natural Disaster,United Kingdom,8542,Electronic Integrated Circuits,4.1,19,Commerce / Synthetic Fallback
SCD-1032,2023-09-25,Cyber Incident,Taiwan,8112,"Beryllium, Chromium, Germanium etc.",3.9,5,Commerce / Synthetic Fallback
SCD-1007,2023-10-07,Cyber Incident,Canada,1201,Soya Beans,2.1,3,Commerce / Synthetic Fallback
SCD-1017,2023-10-09,Geopolitical Embargo,Taiwan,3004,Medicaments Packaged,6.6,8,Commerce / Synthetic Fallback
SCD-1029,2023-10-12,Cyber Incident,Brazil,2711,Petroleum Gases,2.8,8,Commerce / Synthetic Fallback
SCD-1004,2023-11-22,Labor Strike,Singapore,2902,Cyclic Hydrocarbons,8.8,10,Commerce / Synthetic Fallback
SCD-1011,2023-12-24,Factory Shutdown,Germany,2615,"Niobium, Tantalum, Vanadium Ores",1.1,4,Commerce / Synthetic Fallback
SCD-1035,2024-01-10,Natural Disaster,Malaysia,8471,Automatic Data Processing Machines,7.2,28,Commerce / Synthetic Fallback
SCD-1005,2024-01-11,Cyber Incident,Mexico,2902,Cyclic Hydrocarbons,2.1,2,Commerce / Synthetic Fallback
SCD-1033,2024-01-22,Cyber Incident,Singapore,2844,Radioactive Chemical Elements,6.5,10,Commerce / Synthetic Fallback
SCD-1008,2024-01-29,Labor Strike,Thailand,8517,Telephone Sets & Network Equipment,7.3,35,Commerce / Synthetic Fallback
SCD-1031,2024-02-08,Geopolitical Embargo,Germany,9401,Seats,9.4,16,Commerce / Synthetic Fallback
SCD-1019,2024-02-28,Natural Disaster,Germany,8517,Telephone Sets & Network Equipment,8.1,27,Commerce / Synthetic Fallback
SCD-1012,2024-04-02,Geopolitical Embargo,Thailand,8504,Electrical Transformers,8.4,23,Commerce / Synthetic Fallback
SCD-1002,2024-04-06,Labor Strike,Taiwan,8708,Motor Vehicle Parts,7.0,30,Commerce / Synthetic Fallback
SCD-1015,2024-04-07,Port Congestion,India,7208,Flat-Rolled Iron/Steel,9.1,38,Commerce / Synthetic Fallback
SCD-1000,2024-04-23,Cyber Incident,France,8504,Electrical Transformers,5.8,24,Commerce / Synthetic Fallback
SCD-1001,2024-05-24,Cyber Incident,Brazil,2601,Iron Ores & Concentrates,8.0,27,Commerce / Synthetic Fallback
SCD-1003,2024-05-30,Factory Shutdown,Thailand,2709,Crude Petroleum Oils,5.8,16,Commerce / Synthetic Fallback
SCD-1013,2024-07-17,Geopolitical Embargo,India,2844,Radioactive Chemical Elements,8.9,21,Commerce / Synthetic Fallback
SCD-1034,2024-07-29,Factory Shutdown,United Kingdom,2804,"Hydrogen, Rare Gases, Silicon",9.1,20,Commerce / Synthetic Fallback
SCD-1014,2024-08-28,Labor Strike,Malaysia,1005,Maize (Corn),6.5,10,Commerce / Synthetic Fallback
SCD-1022,2024-09-13,Natural Disaster,Germany,2709,Crude Petroleum Oils,5.0,8,Commerce / Synthetic Fallback
SCD-1028,2024-11-18,Geopolitical Embargo,France,7208,Flat-Rolled Iron/Steel,2.2,4,Commerce / Synthetic Fallback
SCD-1030,2025-02-28,Labor Strike,Mexico,2615,"Niobium, Tantalum, Vanadium Ores",5.4,16,Commerce / Synthetic Fallback
SCD-1024,2025-03-11,Natural Disaster,South Korea,2709,Crude Petroleum Oils,7.9,36,Commerce / Synthetic Fallback
SCD-1010,2025-04-12,Natural Disaster,Canada,8542,Electronic Integrated Circuits,9.9,37,Commerce / Synthetic Fallback
SCD-1020,2025-04-13,Port Congestion,Netherlands,6109,T-shirts & Singlets,8.0,17,Commerce / Synthetic Fallback
SCD-1006,2025-04-14,Natural Disaster,Thailand,9018,Medical Instruments,4.8,7,Commerce / Synthetic Fallback
SCD-1027,2025-04-15,Port Congestion,Switzerland,8703,Motor Cars & Vehicles,2.7,10,Commerce / Synthetic Fallback
SCD-1023,2025-04-15,Port Congestion,Germany,8507,Electric Accumulators,6.7,17,Commerce / Synthetic Fallback
SCD-1016,2025-05-05,Cyber Incident,Netherlands,7108,Gold Unwrought,2.0,6,Commerce / Synthetic Fallback
SCD-1038,2025-05-06,Factory Shutdown,Italy,2844,Radioactive Chemical Elements,8.1,36,Commerce / Synthetic Fallback
